Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
30-Dec-2022,EQ,30.8,31.45,30.4,29.8,30.7,30.6,30.87,36.25,15.0,"3,21,66,015","99,29,84,452.80","29,369"
29-Dec-2022,EQ,29.8,30.5,29.5,30.0,29.95,29.8,29.97,36.25,15.0,"3,62,08,756","1,08,52,63,186.45","32,702"
28-Dec-2022,EQ,31.25,31.6,29.55,31.2,29.95,30.0,30.74,36.25,15.0,"6,96,08,835","2,13,99,33,691.95","58,701"
27-Dec-2022,EQ,30.45,31.55,29.5,29.4,31.4,31.2,30.59,36.25,15.0,"8,30,86,560","2,54,15,70,900.85","76,120"
26-Dec-2022,EQ,26.1,30.0,25.5,26.1,30.0,29.4,28.2,36.25,15.0,"12,69,51,806","3,57,95,42,908.90","87,532"
23-Dec-2022,EQ,28.4,28.65,25.35,28.85,26.55,26.1,26.84,36.25,15.0,"8,85,46,213","2,37,61,98,529.65","64,859"
22-Dec-2022,EQ,31.4,31.85,28.5,29.95,29.1,28.85,29.48,36.25,15.0,"9,17,82,979","2,70,59,41,135.95","75,791"
21-Dec-2022,EQ,33.2,34.4,29.15,32.9,30.25,29.95,32.5,36.25,15.0,"12,25,67,137","3,98,38,82,136.90","1,01,440"
20-Dec-2022,EQ,33.85,34.0,32.15,33.7,32.75,32.9,32.88,36.25,15.0,"5,04,40,716","1,65,84,08,047.95","45,707"
19-Dec-2022,EQ,32.8,34.25,32.4,32.35,33.9,33.7,33.41,36.25,15.0,"8,40,07,974","2,80,63,51,230.90","78,221"
16-Dec-2022,EQ,34.15,35.15,32.05,34.35,32.5,32.35,33.47,36.25,15.0,"9,91,24,045","3,31,79,59,662.10","94,850"
15-Dec-2022,EQ,34.1,36.25,33.6,34.1,34.15,34.35,35.09,36.25,15.0,"15,25,86,124","5,35,45,48,872.10","1,44,471"
14-Dec-2022,EQ,33.05,36.2,32.5,32.65,33.95,34.1,34.55,36.2,15.0,"25,25,68,209","8,72,56,08,631.55","2,28,159"
13-Dec-2022,EQ,29.9,33.6,29.55,29.55,32.6,32.65,31.8,33.6,15.0,"16,24,52,666","5,16,56,64,477.80","1,27,193"
12-Dec-2022,EQ,28.6,29.8,27.9,28.65,29.8,29.55,29.01,31.4,15.0,"3,58,07,886","1,03,86,16,571.50","35,732"
09-Dec-2022,EQ,30.5,31.4,27.2,30.05,28.6,28.65,29.66,31.4,15.0,"8,21,66,735","2,43,71,29,715.05","72,198"
08-Dec-2022,EQ,29.2,30.45,28.65,28.85,30.2,30.05,29.62,30.45,15.0,"6,05,26,042","1,79,30,81,632.20","46,883"
07-Dec-2022,EQ,28.45,29.6,28.35,28.45,28.9,28.85,28.98,30.05,15.0,"5,00,63,640","1,45,09,96,377.95","40,021"
06-Dec-2022,EQ,27.65,28.95,27.5,27.65,28.4,28.45,28.33,30.05,15.0,"4,52,99,736","1,28,35,37,308.60","38,778"
05-Dec-2022,EQ,27.5,27.85,27.0,27.35,27.8,27.65,27.45,30.05,15.0,"1,52,76,414","41,92,81,375.30","14,835"
02-Dec-2022,EQ,27.45,28.0,27.05,27.1,27.3,27.35,27.48,30.05,15.0,"2,40,37,754","66,04,68,772.80","23,265"
01-Dec-2022,EQ,26.55,27.6,25.8,26.45,27.6,27.1,26.5,30.05,15.0,"2,78,11,928","73,71,00,905.50","24,333"
30-Nov-2022,EQ,26.95,27.45,26.25,26.85,26.5,26.45,26.82,30.05,15.0,"1,58,45,528","42,50,08,171.65","17,570"
29-Nov-2022,EQ,27.5,27.75,26.7,27.3,26.85,26.85,27.1,30.05,15.0,"1,99,00,823","53,92,67,968.25","20,035"
28-Nov-2022,EQ,27.6,28.1,27.0,27.45,27.3,27.3,27.43,30.05,15.0,"2,22,68,756","61,08,29,184.00","23,289"
25-Nov-2022,EQ,27.45,28.25,27.1,27.3,27.5,27.45,27.73,30.05,15.0,"4,11,90,200","1,14,23,88,810.60","38,225"
24-Nov-2022,EQ,27.45,28.25,27.0,27.2,27.25,27.3,27.65,30.05,15.0,"3,07,49,309","85,02,08,725.25","28,667"
23-Nov-2022,EQ,28.2,28.5,27.0,27.85,27.15,27.2,27.66,30.05,15.0,"4,00,32,938","1,10,75,09,454.45","37,687"
22-Nov-2022,EQ,29.2,30.05,27.25,28.8,27.7,27.85,28.53,30.05,15.0,"10,51,00,923","2,99,85,71,260.45","92,311"
21-Nov-2022,EQ,25.35,29.5,25.2,25.1,28.85,28.8,27.79,29.5,15.0,"15,94,53,816","4,43,04,61,592.05","1,27,099"
18-Nov-2022,EQ,23.25,25.65,23.2,23.1,25.25,25.1,25.02,25.65,15.0,"8,69,22,337","2,17,48,13,920.65","75,460"
17-Nov-2022,EQ,22.9,23.3,22.8,22.9,23.1,23.1,23.05,24.7,15.0,"56,38,624","12,99,52,878.65","6,400"
16-Nov-2022,EQ,22.95,23.45,22.75,22.85,22.9,22.9,23.15,24.7,15.0,"97,79,348","22,64,04,979.40","9,987"
15-Nov-2022,EQ,23.2,23.25,22.6,23.1,23.0,22.85,22.88,24.7,15.0,"65,60,313","15,00,79,928.90","7,790"
14-Nov-2022,EQ,23.55,23.7,22.9,23.4,23.2,23.1,23.14,24.7,15.0,"64,72,068","14,97,80,147.05","8,812"
11-Nov-2022,EQ,23.55,23.95,23.15,23.15,23.3,23.4,23.55,24.7,15.0,"1,22,37,384","28,82,42,085.30","13,995"
10-Nov-2022,EQ,24.25,24.4,22.9,24.2,23.2,23.15,23.49,24.7,15.0,"1,83,53,367","43,11,05,543.15","20,351"
09-Nov-2022,EQ,23.6,24.7,23.35,23.3,24.35,24.2,24.17,24.7,15.0,"3,40,82,599","82,36,77,263.40","33,123"
07-Nov-2022,EQ,23.0,23.95,23.0,22.75,23.3,23.3,23.43,23.95,15.0,"2,76,06,247","64,68,96,150.40","29,291"
04-Nov-2022,EQ,21.3,23.15,21.25,21.1,22.6,22.75,22.59,23.15,15.0,"4,69,92,227","1,06,17,58,323.20","45,694"
03-Nov-2022,EQ,20.1,21.2,20.0,20.2,21.15,21.1,20.84,22.2,15.0,"1,26,83,638","26,42,77,846.65","13,991"
02-Nov-2022,EQ,20.3,20.4,20.15,20.2,20.3,20.2,20.27,22.2,15.0,"33,54,960","6,80,15,138.60","4,591"
01-Nov-2022,EQ,20.5,20.75,20.1,20.3,20.2,20.2,20.44,22.2,15.0,"44,85,720","9,16,82,084.30","6,531"
31-Oct-2022,EQ,20.95,21.2,20.25,20.75,20.4,20.3,20.52,22.2,15.0,"58,81,162","12,06,73,931.80","8,725"
